Titel,Year,Make,Model,Price,Search Model,Transmission,Mileage,Location,Description,Flags,URL
1998 Mazda artis,1998,Mazda,artis,1500000,,manual,200000,Linares,Se vende o se permuta Mazda artis funcionando impeke no gasta aceite ni agua detalles a la vista interior sin problemas,[],https://web.facebook.com/marketplace/item/1141887483654965/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2014 Mazda 6,2014,Mazda,6,8480000,,manual,101000,Santiago,✅ Disponible con Financiamiento y contado. • unico dueño • motor 2.0cc • mecanico- caja 6ta • velocidad crucero • sensor de retroceso • Dirección hidráulica • aire acondicionado • cierre centralizado • Full equipo ✅ Consulte alta probabilidad de aprobación.,[],https://web.facebook.com/marketplace/item/1400299417516390/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2016 Mazda cx-3,2016,Mazda,cx-3,9980000,,manual,1111,Maipú,Mazda cx3 2016 Motor 2.0 Full Equipo Aire acondicionado Alzavidrios eléctricos Excelente condiciones $ 9.980.000,[],https://web.facebook.com/marketplace/item/311665811588617/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2008 Mazda 3,2008,Mazda,3,3200000,,manual,200000,Talca,"vendo mazda 3 full segunda generación,al dia y transferible. a/c, alza vidrios etc. detalles estéticos, lo dejo en 3 millones por esta semana","['al dia', 'detalles menores']",https://web.facebook.com/marketplace/item/297253599812844/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2006 Mazda 3,2006,Mazda,3,2000000,,manual,21000,Constitución,"Se vende o se permuta 
Uso diario
Atrasado más detalles imbox",['atrasado'],https://web.facebook.com/marketplace/item/279471181848658/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2013 Mazda cx-5,2013,Mazda,cx-5,9500000,,manual,188000,Los Andes,"A toda prueba, cámara de retroceso, espejos eléctricos, maletero amplio, todo original, mantenciones al día",['al dia'],https://web.facebook.com/marketplace/item/723484849974149/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2013 Mazda 6,2013,Mazda,6,8500000,,manual,178000,Talca,"Se venden mazda 6
Año 2013
Full equipo
Papales al día",['al dia'],https://web.facebook.com/marketplace/item/372872319061641/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2015 Mazda 2,2015,Mazda,2,5780000,,manual,76000,Santiago,‎ ✅ Disponible con Financiamiento y contado. • motor 1.5cc • sensor de retroceso • Dirección hidráulica • aire acondicionado • cierre centralizado • Full equipo ✅ Consulte alta probabilidad de aprobación.,[],https://web.facebook.com/marketplace/item/778434690521666/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2009 Mazda bt-50,2009,Mazda,bt-50,5400000,,manual,293000,Nogales,"Camioneta con toda la documentación al día revisión técnica 2025, mantenimiento al día sin multas ni partes, solo detalles de pintura por el año. Cualquier consulta no dudes en preguntar..","['al dia', 'detalles menores']",https://web.facebook.com/marketplace/item/429702899507466/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2008 Mazda 3,2008,Mazda,3,4280000,,manual,160000,Estación Central,Mazda 3 2008 1.6cc Full equipo Aire acondicionado Alza vidrios y espejos eléctricos Llantas Cierre centralizado Aire bag Al día hasta 2025❗❗ Mx.autos,['al dia'],https://web.facebook.com/marketplace/item/1389518615013981/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012 Mazda bt-50,2012,Mazda,bt-50,3500000,,manual,150000,Colina,Se remata !!! Funcionando para desarme atrasada y con multas Permuto por camión funcionando Puedo recibir a mi favor o dar a favor alguna diferencia conversable,"['conversable', 'atrasada', 'desarme', 'multas']",https://web.facebook.com/marketplace/item/1370231577711558/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2014 Mazda 6,2014,Mazda,6,9000000,,manual,114000,San Javier,"Mazda en excelente estado, rápido, seguro y económico. Año 2014. Motor 2.0. Caja 6ta. 114.000 km reales. Sistema Sky active. Aire acondicionado. Neumáticos nuevos. Fundas de tapiz. HABLAR REALES INTERESADOS.",[],https://web.facebook.com/marketplace/item/1322263668468543/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
