Titel,Year,Make,Model,Price,Search Model,Transmission,Mileage,Location,Description,Flags,URL
2018 Hyundai accent,2018,Hyundai,accent,9200000,,automatic,25000,La Reina,HYUNDAI I 20 ACTIVE 1.4 Automatico Full Muy bien cuidado Unica dueña Cero detalles Vehiculo impecable y con buen rendimiento,[],https://web.facebook.com/marketplace/item/1413594102883643/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2010 Hyundai santa fe,2010,Hyundai,santa fe,9900000,,automatic,87000,Santiago,"SANTA FE FL GLS 4WD 2.4 AUT -FULL🇰🇷🇰🇷🇰🇷 -Año 2010 Camioneta tal como se ve en las fotos,muy bien cuidada impecable. - Asientos de cuero - Sunroof - Automática - Laminas de seguridad -velocidad crucero -asiento automáticos - 87.000 klm -Bencinera - todo al día. precio : 9.900.000 -Santiago",['al dia'],https://web.facebook.com/marketplace/item/1605792133505582/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2018 Hyundai i20 active 1.4 automático,2018,Hyundai,i20 active 1.4 automático,9180000,,automatic,40000,Las Condes,"En excelente estado full equipo, transmisión automática,muy económico cámara trasera,radio touch. Financiamiento, Real oportunidad.",[],https://web.facebook.com/marketplace/item/431227892894801/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2000 Hyundai BOLSAS DE AIRE INTACTAS santamo al dia dueÑo directo,2000,Hyundai,BOLSAS DE AIRE INTACTAS santamo al dia dueÑo directo,1700000,,automatic,230000,Quilpué,CAMIONETA HYUNDAI SANTAMO AÑO 2000 MOTOR 2000 CC 16 VÁLVULAS AIR BAG O BOLSAS DE AIRE INTACTAS CAJA AUTOMÁTICA SIN DETALLES VERSION FULL AIRE ACONDICIONADO CALEFACCIÓN DIRECCION HIDRÁULICA CIERRE CENTRALIZADO VIDRIOS Y ESPEJOS ELÉCTRICOS INTERIOR TOTALMENTE ORIGINAL PINTURA DE FABRICA CAMIONETA FAMILIAR TRES CORRIDAS DE ASIENTO DETALLES DE PINTURA GASTADA EN PARTES X LOS AÑOS UDO DIARIO ANDA A LA LLAVE TRANSFERIBLE AL MOMENTO AL DIA SIN MULTAS NI PARTES V REGION QUILPUE WHATSAPP [hidden information] VALOR 1.700.000,"['al dia', 'detalles menores']",https://web.facebook.com/marketplace/item/291300970724605/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2002 Hyundai sonata,2002,Hyundai,sonata,1200000,,automatic,250000,San Joaquín,Parte a la llave No pasa 5ta - automático Aire acondicionado - falta mantención Alza vidrios - falta mantención Cierre centralizado Transferible Amplio una cuna Buena potencia Atrasado del 2013 Venta o permuto Contacto solo reales interesados Ver en San Miguel,"['atrasado', 'parte']",https://web.facebook.com/marketplace/item/1320481565313248/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012 Hyundai veracruz 3.8 top de línea,2012,Hyundai,veracruz 3.8 top de línea,8990000,,automatic,112000,Talagante,"Vendo realmente por no uso, camioneta muy cómoda, con espacios amplios, full cuero, 8 air bags, sunroof, calienta asientos, aire acondicionado para llegar a todas las zonas, 4x4, tres corridas de asientos. Hay que verla. Podría permutar por moto enduro KTM o Husqvarna del 2021 en adelante o bien por por alguna de alta cilindrada tipo Adventure",[],https://web.facebook.com/marketplace/item/834489945151257/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2014 Hyundai tucson,2014,Hyundai,tucson,9000000,,automatic,83000,San Antonio,"En perfecto estado llegar y andar neumáticos delanteros nuevos, Correa de accesorios nueva, liquido hidráulico nuevo, bujías nuevas, filtro de cabina nuevo. Automático. 83.500 km.Dudas al [hidden information]. Todo al día hasta 2025. $ 9.000.000. [hidden information].",['al dia'],https://web.facebook.com/marketplace/item/1525211431357483/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
1998 Hyundai galloper,1998,Hyundai,galloper,3000000,,automatic,193000,Curacaví,"Hyundai galloper año 98, está al día pero no está transferible ya que el dueño falleció, cualquier duda al inbox",['al dia'],https://web.facebook.com/marketplace/item/1436354206956895/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2018 Hyundai accent,2018,Hyundai,accent,9500000,,automatic,59000,Recoleta,"Hyundai Accent 2018, FULL, Con Sunroof, en excelente estado, precio conversable. Neumáticos fueron cambiados hace poco, y tiene todas sus mantenciones al día. ¡Se vende por viaje!","['conversable', 'al dia']",https://web.facebook.com/marketplace/item/2440883392788523/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2006 Hyundai matrix,2006,Hyundai,matrix,3200000,,automatic,145000,San Miguel,"Auto Hiunday Matrix año 2006 en perfectas condiciones externamente e internamente motor y caja de cambio automática sin ningún detalle, el auto está tal cual como se ve en las fotos impecable, aire acondicionado y calefacción operativa, sistema de sonido android, cámara de retroceso y sensores, cámara de siniestros, cierre centralizado y alarma.( Auto super económico, fácil de conducir y muy espacioso) El auto se puede ver en ciudad Satélite Maipú.",[],https://web.facebook.com/marketplace/item/381652621364139/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
