Titel,Year,Make,Model,Price,Search Model,Transmission,Mileage,Location,Description,Flags,URL
2018 Mazda 2,2018,Mazda,2,9900000,,automatic,38000,Concepción,"Automático 
38 mil kms
Mantenciones en derco
Motor 1.5 skyactive 
Conversable",['conversable'],https://web.facebook.com/marketplace/item/790013953179037/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2013 Mazda 6,2013,Mazda,6,9000000,,automatic,134000,Lota,"Mazda 6 automático skyactive 2.0 año2013 Full equipo. Asientos de cuero Eléctricos, Comando al volante. 3 modos de conducción, Nunca chocado, sin detalles . Pintura impecable. Km134.500 sin parte ni multas. conversable","['conversable', 'parte']",https://web.facebook.com/marketplace/item/332290476067415/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2010 Mazda cx-7,2010,Mazda,cx-7,6300000,,automatic,146000,Coronel,Full equipo Asiento de cuero Sunroof Calienta asiento Alza vidrio electrico Neumaticos nuevos Revision tecnica al dia Permiso circulacion al dia,['al dia'],https://web.facebook.com/marketplace/item/3734059713535446/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012 Mazda cx-7,2012,Mazda,cx-7,7800000,,automatic,109000,Ninhue,Vendo Mazda Cx7 año 2012. ✅Control de estabilidad. ✅6 airbag. ✅Frenos ABS. ✅Velocidad Crucero. ✅Asientos de cuero. ✅Asientos delanteros calefaccionados. ✅Aire acondicionado. ✅Caja Tiptronic. ✅Motor 2.5 ✅Comandos al volante ✅Espejos eléctricos. ✅Sensor de retroceso. ✅Documentación al día. Dudas y consultas al [hidden information],['al dia'],https://web.facebook.com/marketplace/item/766593795162020/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020 Mazda 6 gt line (financiable),2020,Mazda,6 gt line (financiable),5000000,,automatic,37000,La Serena,"MAZDA 6 GT 2020🇯🇵 VERSIÓN: GT LINE ☑️AÑO 2020 ☑️37.000 KM ☑️MOTOR 2.5 ☑️TRANSMISIÓN AUTOMÁTICA ☑️BENCINERO ☑️CÁMARA DE RETROCESO ☑️CLIMATIZADOR ☑️AIRE ACONDICIONADO ☑️CALIENTA ASIENTOS DELANTEROS Y TRASEROS ☑️APPLE CAR PLAY ☑️SUNROFF ☑️3 MODOS DE MANEJO ☑️ASIENTOS DE CUERO 🔘PRECIO: 18.490.000 🔘PIE 30%: 5.550.000 🗣️CRÉDITO EXPRESS SIN ACREDITAR RENTA PIE DESDE EL 40% DEL VALOR DEL VEHÍCULO (7.400.000) CONDICIÓN: ESTAR BANCARIZADO EN ALGÚN BANCO 🆗 GESTIONAMOS FINANCIAMIENTOS -FALABELLA -TANNER -AUTOFACIL -SANTANDER -UNIDAD -FORUM 🆗RECIBIMOS AUTOS EN PARTE DE PAGO 🆗VEHICULO CON GARANTÍA MOTOR/TREN DELANTERO/ TREN TRASERO 🆗GESTIONAMOS SEGURO AUTOMOTRIZ DISPONIBLE PARA ➡️ASESORARTE EN TU PRÓXIMA COMPRA ➡️AYUDARTE A ENCONTRAR TU VEHÍCULO IDEAL Y LA TASA MÁS BARATA DEL MERCADO **MÜNCHEN AUTOMOTRIZ** 📍AV BALMACEDA 4601, LA SERENA📍",['parte'],https://web.facebook.com/marketplace/item/1873469636435121/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2000 Mazda 323 full,2000,Mazda,323 full,3000000,,automatic,1000,Quillón,Se vende o se permuta mazda 323 full año 2000 cuenta con doble camara adelante y atrás radio con pantalla a/c cargado hasta el manual por dentro cuidado maniático neumáticos nuevos sus mantenimientos al día a toda prueba detallitos estéticos chiquitito,['al dia'],https://web.facebook.com/marketplace/item/700499438685442/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2013 Mazda cx-5,2013,Mazda,cx-5,9990000,,automatic,100000,Santiago,Diversos vehículos disponibles En todas sus categorías Sedan ✅ hatchback ✅ Suv ✅ Camionetas ✅ Motos ✅ 💲 Precios conversables ❗,[],https://web.facebook.com/marketplace/item/818695876980962/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2014 Mazda cx-5,2014,Mazda,cx-5,10000000,,automatic,129000,Lo Barnechea,"⚙️Modelo: Mazda CX-5 ⚙️Año: 2014 ⚙️Kilometraje: 129.000 ⚙️Motor: 2.0 ⚙️Número de dueños: 3 ⚙️Transmisión: automática ⚙️Detalles (Solo si tiene): Leves detalles de uso ⚙️Ubicación del vehículo: Las condes, Santiago 💰Precio:10.000.000",[],https://web.facebook.com/marketplace/item/3086164031515153/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
1999 Mazda 626,1999,Mazda,626,2100000,,automatic,3000,Bulnes,Auto Mazda arte permuto Auto todo al día y transferible mantenciones todas hechas por favor gente seria,['al dia'],https://web.facebook.com/marketplace/item/251645791329994/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2015 Mazda 3 1.6 aut,2015,Mazda,3 1.6 aut,8780000,,automatic,130000,Las Condes,MARCA: MAZDA MODELO: 3 AÑO: 2015 PRECIO:8.780.000 PIE MINIMO 1.756.000 (SUJETO A EVALUACION COMERCIAL) PIE SIN ACREDITAR RENTA :3.512.000 ( SUJETO A EVALUACION COMERCIAL) DOCUMENTOS AL DIA MANTENCIONES ACEPTAMOS TARJETA DE CREDITO GESTIONAMOS TU CREDITO AUTOMOTRIZ RECIBIMOS AUTOS EN FORMA DE PAGO INFO:CARLOS ALVAREZ:[hidden information],['al dia'],https://web.facebook.com/marketplace/item/812044140750815/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
