Titel,Year,Make,Model,Price,Search Model,Transmission,Mileage,Location,Description,Flags,URL
2021 Kia río 5 ex,2021,Kia,río 5 ex,9900000,,manual,77000,Las Condes,"Motor 1.4, caja de cambios mecánica de 6 velocidades, 5 plazas de tapiz color negro, airbags delanteros, pantalla touch, cámara de retroceso, radio bluetooth, US, AUX, aire acondicionado, start stop engine, controles al volante, espejos eléctricos abatibles, alza vidrios eléctricos.",[],https://web.facebook.com/marketplace/item/334084969219310/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2015 Kia rio,2015,Kia,rio,6500000,,manual,72000,Puente Alto,"Se vende auto Kia río sport full año 2015, 72.000 kl en perfecto estado",[],https://web.facebook.com/marketplace/item/7522059954507179/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2016 Kia rio,2016,Kia,rio,5950000,,manual,85000,Villa Alemana,Vendo por viaje,[],https://web.facebook.com/marketplace/item/419389153963275/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2017 Kia frontier • doble cabina,2017,Kia,frontier • doble cabina,6800000,,manual,143000,Peñalolén,Kia Frontier • Doble Cabina | Año 2017 | 143.822 KM • 2.5 • Diésel • Alza vidrios • Aire Ac • Airbag buenos | 1 Solo Dueño | $6.800.000.- Oferta | | Transferible | Más info WhatsApp [hidden information],[],https://web.facebook.com/marketplace/item/363608390009203/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012 Kia cerato,2012,Kia,cerato,3980000,,manual,147000,San Ramón,"VEHÍCULO DE ASEGURADORA 
FULL EQUIPO 
TODO FUNCIONANDO IMPECABLE 
ALGUNOS DETALLES ESTETICOS",['detalles menores'],https://web.facebook.com/marketplace/item/767752591986833/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2008 Kia jb,2008,Kia,jb,3000000,,manual,185000,Coltauco,Se vende kia jb bien cuidado manutención recién echas impecable neumáticos nuevos ose puede permutar x algo interesante de preferencia espart gt,[],https://web.facebook.com/marketplace/item/3718660138402662/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021 Kia morning,2021,Kia,morning,6500000,,manual,28000,La Reina,"Precio algo conversable luego de ver, es el más equipado no automático.",['conversable'],https://web.facebook.com/marketplace/item/402391515846772/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021 Kia morning,2021,Kia,morning,3850000,,manual,88000,Puente Alto,"🚘KIA MORNING 2021 ✅️EN PRENDA, PRENDA, PRENDA ✅️FULL ✅️DUEÑO DIRECTO ➕️5️⃣6️⃣9️⃣4️⃣9️⃣1️⃣8️⃣3️⃣2️⃣0️⃣9️⃣✅️",[],https://web.facebook.com/marketplace/item/7415633325196894/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2017 Kia sportage,2017,Kia,sportage,4300000,,manual,130000,Chépica,Andando a la llave Tiene prenda y 9 multas por eso el precio Vehiculo full equipo Podria vender o permutar,['multas'],https://web.facebook.com/marketplace/item/387529587504547/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021 Kia sonet,2021,Kia,sonet,6700000,,manual,30000,Maipú,VENDO KIA SONET EX 1.5 $6.700.000 AÑO 2021 KM. 30000 COLOR AZUL GRIEGO CONBUSTIBLE GASOLINA TRANSMISION MANUAL NO TIENE MULTAS NO ACTIVO AIRBAG FUNCIONANDO PAPELES AL DIA TRANSFERIBLE SOLO REALES INTERESADOS SOLO VENTA AUTOMOTORA MORALES,['al dia'],https://web.facebook.com/marketplace/item/1811949542602256/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
